name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand
TOYOTA INNOVA 2.5 G (DIESEL) 7 SEATER,2015,1300000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TOYOTA
JEEP COMPASS 1.4 SPORT PLUS BSIV,2019,1400000,10000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,JEEP
MERCEDES-BENZ E-CLASS E 200 CGI ELEGANCE,2010,850000,119000,PETROL,DEALER,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
HYUNDAI I10 MAGNA 1.1L,2014,229999,60000,PETROL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,HYUNDAI
BMW 3 SERIES 320D SPORT LINE,2013,1550000,75800,DIESEL,DEALER,AUTOMATIC,SECOND OWNER,BMW
AUDI Q7 35 TDI QUATTRO PREMIUM,2009,1250000,78000,DIESEL,DEALER,AUTOMATIC,THIRD OWNER,AUDI
HYUNDAI ELANTRA CRDI S,2012,625000,40000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MAHINDRA SCORPIO 1.99 S10,2014,1050000,50000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
HONDA CITY I DTEC V,2014,560000,74000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HONDA
MARUTI WAGON R VXI BS IV WITH ABS,2014,290000,64000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MARUTI WAGON R VXI BS IV,2012,275000,60000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MAHINDRA SCORPIO LX,2009,411000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
HYUNDAI SANTRO XING GLS,2009,150000,79000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
HYUNDAI GRAND I10 1.2 KAPPA ASTA,2019,500000,15000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI ALTO LXI,2006,100000,80000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT DZIRE VDI OPTIONAL,2017,725000,18500,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI EECO 5 SEATER AC BSIV,2018,401000,10200,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 SPORTZ 1.4 CRDI,2018,750000,29000,DIESEL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI OMNI MARUTI OMNI MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT ZDI BSIV,2016,665000,46000,DIESEL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 2015-2017 SPORTZ OPTION 1.4 CRDI,2014,465000,70000,DIESEL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MARUTI ALTO LXI,2012,160000,60000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MAHINDRA JEEP CL 500 MDI,1996,250000,35000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
HONDA CITY I DTEC VX,2014,675000,90000,DIESEL,DEALER,MANUAL,FIRST OWNER,HONDA
MARUTI WAGON R VXI BS IV,2013,300000,80000,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
TATA INDICA DLS,2005,70000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI EON MAGNA PLUS,2014,240000,73300,PETROL,DEALER,MANUAL,SECOND OWNER,HYUNDAI
TOYOTA ETIOS GD,2014,525000,92000,DIESEL,DEALER,MANUAL,FIRST OWNER,TOYOTA
MARUTI ALTO LXI,2009,151000,66764,PETROL,DEALER,MANUAL,SECOND OWNER,MARUTI
MARUTI ALTO LXI,2009,140000,100000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
CHEVROLET TAVERA NEO LS B3 - 7(C) SEATS BSIII,2010,280000,350000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
TOYOTA COROLLA ALTIS DIESEL D4DG,2011,350000,230000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TOYOTA
MAHINDRA SCORPIO 1.99 S6 PLUS,2017,570000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
HYUNDAI EON MAGNA PLUS,2018,300000,31000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA INDIGO CLASSIC DICOR,2007,100000,39000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
TOYOTA INNOVA 2.5 V DIESEL 8-SEATER,2009,500000,120000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,TOYOTA
TATA INDICA VISTA QUADRAJET LS,2014,125000,166000,DIESEL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,TATA
MARUTI SWIFT 1.3 VXI,2006,130000,110000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
FORD ECOSPORT 1.5 DIESEL TITANIUM BSIV,2017,925000,35000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,FORD
MARUTI CIAZ 1.3 DELTA,2018,750000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HONDA CIVIC 1.8 V AT,2007,200000,54000,PETROL,INDIVIDUAL,AUTOMATIC,SECOND OWNER,HONDA
HYUNDAI I10 SPORTZ 1.2,2010,248000,63000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
SKODA RAPID 1.5 TDI ELEGANCE,2014,450000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,SKODA
HYUNDAI GETZ GLS,2005,80000,120000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
NISSAN TERRANO XL,2014,650000,76000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,NISSAN
HYUNDAI GRAND I10 CRDI SPORTZ,2015,450000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI ELITE I20 DIESEL ERA,2019,650000,25000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HONDA AMAZE S I-VTEC,2016,495000,11958,PETROL,DEALER,MANUAL,FIRST OWNER,HONDA
HONDA BRIO S MT,2015,371000,20000,PETROL,DEALER,MANUAL,FIRST OWNER,HONDA
HYUNDAI CRETA 1.6 SX OPTION,2017,1025000,9000,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MERCEDES-BENZ S-CLASS S 350D CONNOISSEURS EDITION,2017,8150000,6500,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
MAHINDRA XUV500 W8 2WD,2015,750000,70000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
RENAULT DUSTER 85PS DIESEL RXL OPTIONAL,2013,600000,120000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
HYUNDAI SANTRO XING XO,2007,80000,58000,PETROL,DEALER,MANUAL,SECOND OWNER,HYUNDAI
MAHINDRA BOLERO 2011-2019 SLE,2013,325000,62200,DIESEL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
AUDI A6 2.0 TDI PREMIUM PLUS,2014,1470000,34000,DIESEL,DEALER,AUTOMATIC,SECOND OWNER,AUDI
FIAT AVVENTURA MULTIJET EMOTION,2015,350000,53000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,FIAT
AUDI A8 4.2 TDI,2013,2800000,49000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
DATSUN REDIGO 1.0 S,2017,210000,15000,PETROL,DEALER,MANUAL,SECOND OWNER,DATSUN
VOLKSWAGEN JETTA 1.4 TSI COMFORTLINE,2013,450000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,VOLKSWAGEN
AUDI A4 2.0 TDI 177 BHP PREMIUM PLUS,2013,1150000,53000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
HONDA CIVIC 1.8 V AT,2009,210000,63500,PETROL,DEALER,AUTOMATIC,FIRST OWNER,HONDA
MERCEDES-BENZ E-CLASS EXCLUSIVE E 200 BSIV,2018,4500000,9800,PETROL,DEALER,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
BMW X1 SDRIVE 20D XLINE,2017,2750000,13000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,BMW
VOLVO V40 D3 R DESIGN,2018,1975000,21000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,VOLVO
MARUTI SX4 ZXI BSIII,2008,175000,29173,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
BMW 7 SERIES 730LD,2012,2500000,48000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,BMW
MAHINDRA BOLERO POWER PLUS SLX,2017,628000,120000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
HYUNDAI SONATA CRDI M/T,2010,600000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
NISSAN MICRA ACTIVE XV PETROL,2017,399000,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,NISSAN
MAHINDRA XYLO D4,2018,750000,87000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
HYUNDAI ELITE I20 SPORTZ PLUS DUAL TONE BSIV,2019,750000,15000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
RENAULT KWID RXT,2017,315000,16000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
MAHINDRA XYLO E4 BS III,2012,600000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MARUTI WAGON R LXI MINOR,2010,100000,60000,PETROL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,MARUTI
MARUTI SX4 ZXI MT BSIV,2011,250000,110000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
RENAULT KWID RXT,2017,350000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
HYUNDAI CRETA 1.4 CRDI S,2016,780000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI SWIFT DZIRE VDI,2014,434000,79350,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HYUNDAI VERNA 1.6 VTVT AT S OPTION,2016,690000,80000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,HYUNDAI
MAHINDRA SCORPIO LX BSIV,2014,555000,90000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
MARUTI SX4 VXI BSIII,2007,120000,90000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MARUTI ERTIGA VDI,2014,500000,120000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
CHEVROLET BEAT DIESEL,2013,165000,60000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
MARUTI ZEN LX,2004,95000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI BALENO DELTA 1.2,2018,550000,20000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI SWIFT VDI BSIII,2007,100000,110000,DIESEL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,MARUTI
TATA NANO LX BSIV,2012,100000,50000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
TOYOTA INNOVA 2.5 GX (DIESEL) 8 SEATER,2012,500000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TOYOTA
MARUTI ERTIGA SHVS VDI,2016,800000,70000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HYUNDAI CRETA 1.6 CRDI SX,2016,840000,70000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
HONDA AMAZE S I-VTECH,2016,490000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
TATA INDICA VISTA AQUA 1.4 TDI,2010,125000,81000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
CHEVROLET TAVERA NEO 2 LS B4 7 STR BSIII,2012,400000,120000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,CHEVROLET
CHEVROLET CRUZE LTZ,2015,1000000,3600,DIESEL,DEALER,MANUAL,FIRST OWNER,CHEVROLET
FORD FIGO ASPIRE 1.2 TI-VCT TITANIUM PLUS,2015,530000,14272,PETROL,DEALER,MANUAL,FIRST OWNER,FORD
FORD ECOSPORT 1.5 DIESEL TITANIUM PLUS BSIV,2017,840000,49213,DIESEL,DEALER,MANUAL,FIRST OWNER,FORD
HYUNDAI I10 SPORTZ 1.1L,2015,229999,40000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI 800 STD,1998,40000,40000,PETROL,INDIVIDUAL,MANUAL,FOURTH & ABOVE OWNER,MARUTI
CHEVROLET SPARK 1.0 LS,2012,130000,80000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
HYUNDAI EON ERA PLUS,2015,200000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA INDICA VISTA AQUA TDI BSIII,2011,120000,70000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI SANTRO LP ZIPPLUS,2003,75000,57000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA BOLT QUADRAJET XE,2016,250000,120000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
MARUTI 800 AC BSIII,2005,100000,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI EON ERA PLUS,2013,280000,3240,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
HYUNDAI I20 MAGNA 1.2,2015,540000,5000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI I20 1.2 ASTA,2018,700000,10000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI CIAZ VDI PLUS,2015,525000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 ASTA 1.4 CRDI,2016,430000,80000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
HYUNDAI SANTRO LE,2002,65000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI VITARA BREZZA VDI,2018,800000,35000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI SANTRO XING XL ERLX EURO III,2007,75000,114000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
HYUNDAI GETZ 1.3 GLS,2008,210000,53772,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MAHINDRA QUANTO C8,2012,195000,140000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MAHINDRA
CHEVROLET TAVERA NEO 3 LS 7 C BSIII,2015,400000,120000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
HYUNDAI EON MAGNA PLUS,2012,170000,60000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
RENAULT KWID RXT,2016,225000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,RENAULT
MARUTI WAGON R DUO LPG,2014,210000,90000,LPG,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI WAGON R LXI,2020,240000,120000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
CHEVROLET ENJOY 1.3 TCDI LS 8,2015,300000,175000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
CHEVROLET SPARK 1.0 LS,2011,99000,100000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,CHEVROLET
HONDA CITY I VTEC SV,2014,620000,36000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
HONDA AMAZE VX I-DTEC,2013,500000,30000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HONDA
JAGUAR XJ 5.0 L V8 SUPERCHARGED,2010,2550000,40000,PETROL,INDIVIDUAL,AUTOMATIC,SECOND OWNER,JAGUAR
HONDA BRIO E MT,2013,260000,70000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HONDA
MARUTI SWIFT VVT ZXI,2017,550000,60000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
TATA INDIGO CR4,2011,150000,155500,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI I10 ASTA AT,2011,350000,50000,PETROL,INDIVIDUAL,AUTOMATIC,SECOND OWNER,HYUNDAI
CHEVROLET BEAT LT,2016,320000,40000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
MARUTI SWIFT VDI BSIV,2015,400000,100000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MARUTI ALTO LXI,2012,175000,80000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
CHEVROLET BEAT LT,2011,120000,90000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
RENAULT DUSTER 110PS DIESEL RXZ,2013,320000,90000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,RENAULT
HYUNDAI SANTRO XING XG,2006,70000,110000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
MARUTI SWIFT DZIRE ZXI PLUS,2019,810000,15000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI 800 AC,2007,95000,100000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
MARUTI ALTO K10 LXI CNG,2020,282000,40000,CNG,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI 800 STD BSII,2004,80000,60000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
TATA NANO LX SE,2013,72000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
HYUNDAI I20 MAGNA 1.2,2016,600000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
SKODA RAPID 1.6 MPI AMBITION WITH ALLOY WHEEL,2015,640000,23000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,SKODA
MARUTI ALTO K10 VXI,2018,380000,22155,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI CIAZ 1.4 DELTA,2018,650000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI ALTO LX,2009,150000,60000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
HYUNDAI I20 ASTA,2009,280000,110000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HYUNDAI
TATA NEXON 1.2 REVOTRON XM,2018,430000,30000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
MAHINDRA BOLERO POWER PLUS SLX,2019,800000,15000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MARUTI ZEN D,2003,75000,100000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
VOLKSWAGEN VENTO CELESTE 1.5 TDI HIGHLINE AT,2016,650000,70000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,VOLKSWAGEN
MARUTI EECO 7 SEATER STANDARD BSIV,2017,390000,24000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HONDA CITY 1.5 EXI,2005,100000,120000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,HONDA
MERCEDES-BENZ NEW C-CLASS 220 CDI AT,2013,1500000,35000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
MARUTI SX4 ZXI WITH LEATHER BSIII,2007,175000,78380,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
RENAULT DUSTER 110PS DIESEL RXZ,2012,434999,110000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,RENAULT
FORD FIGO DIESEL TITANIUM,2010,170000,90000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,FORD
FORD FIGO DIESEL TITANIUM,2011,190000,90000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,FORD
MARUTI SWIFT DZIRE VDI,2009,250000,150000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MAHINDRA XYLO E4,2009,229999,230000,DIESEL,INDIVIDUAL,MANUAL,THIRD OWNER,MAHINDRA
MARUTI ESTEEM VXI - BSIII,2006,140000,70000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MARUTI SWIFT VDI BSIV,2017,600000,80362,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 1.2 SPORTZ,2012,280000,110000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,HYUNDAI
CHEVROLET BEAT DIESEL LT,2012,150000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
CHEVROLET CRUZE LTZ AT,2015,650000,50000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,CHEVROLET
NISSAN MICRA XL,2014,210000,40000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,NISSAN
BMW 5 SERIES 520D LUXURY LINE,2017,2900000,40000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,BMW
CHEVROLET ENJOY 1.3 TCDI LS 8,2013,425000,20000,DIESEL,DEALER,MANUAL,FIRST OWNER,CHEVROLET
HYUNDAI EON ERA PLUS OPTION,2014,265000,55000,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
FIAT LINEA T JET EMOTION,2018,890000,1136,PETROL,DEALER,MANUAL,FIRST OWNER,FIAT
RENAULT SCALA RXL,2013,365000,55000,PETROL,DEALER,MANUAL,FIRST OWNER,RENAULT
FORD FIGO PETROL TITANIUM,2014,350000,43000,PETROL,DEALER,MANUAL,FIRST OWNER,FORD
MARUTI CIAZ ZDI SHVS,2016,685000,60000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
SKODA RAPID 1.5 TDI AMBITION BSIV,2018,940000,2650,DIESEL,DEALER,MANUAL,FIRST OWNER,SKODA
MAHINDRA XUV500 W6 2WD,2017,1000000,40000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MAHINDRA
MAHINDRA XUV300 W8 OPTION,2019,1150000,15000,PETROL,DEALER,MANUAL,FIRST OWNER,MAHINDRA
MARUTI ERTIGA SHVS ZDI,2016,450000,115962,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
NISSAN TERRANO XE D,2015,590000,65000,DIESEL,DEALER,MANUAL,FIRST OWNER,NISSAN
MARUTI S-CROSS FACELIFT,2017,800000,40000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI I20 MAGNA 1.4 CRDI (DIESEL),2012,385000,58000,DIESEL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
MERCEDES-BENZ NEW C-CLASS C 220 CDI BE AVANTGARE,2013,2000000,15000,DIESEL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
HYUNDAI EON ERA PLUS,2012,235000,54000,PETROL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
VOLKSWAGEN AMEO 1.5 TDI HIGHLINE,2017,640000,56000,DIESEL,DEALER,MANUAL,FIRST OWNER,VOLKSWAGEN
MARUTI ALTO LX,2006,52000,120000,PETROL,INDIVIDUAL,MANUAL,THIRD OWNER,MARUTI
MARUTI OMNI LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,INDIVIDUAL,MANUAL,SECOND OWNER,MARUTI
